                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                        l                      n_pg                       n_p                       n_g                  Re(freq)                  Im(freq)                    E_norm
                        0                         7                         7                         0   0.1086976685296807E+004   0.0000000000000000E+000   0.5203315741978847E-005
                        0                         8                         8                         0   0.1225998375352045E+004   0.0000000000000000E+000   0.2141504979995836E-005
                        0                         9                         9                         0   0.1363426544918023E+004   0.0000000000000000E+000   0.8829039318976044E-006
                        0                        10                        10                         0   0.1497667686251895E+004   0.0000000000000000E+000   0.3908561935914424E-006
                        0                        11                        11                         0   0.1628639158856810E+004   0.0000000000000000E+000   0.1943417235353780E-006
                        0                        12                        12                         0   0.1759223803969823E+004   0.0000000000000000E+000   0.1092131881425657E-006
                        0                        13                        13                         0   0.1890039579247914E+004   0.0000000000000000E+000   0.6683175042653847E-007
                        0                        14                        14                         0   0.2020290551590246E+004   0.0000000000000000E+000   0.4237031381106862E-007
                        0                        15                        15                         0   0.2149815231957247E+004   0.0000000000000000E+000   0.2828397598812304E-007
                        0                        16                        16                         0   0.2278607616611409E+004   0.0000000000000000E+000   0.2069999199754745E-007
                        0                        17                        17                         0   0.2407597102466659E+004   0.0000000000000000E+000   0.1635365963759330E-007
                        0                        18                        18                         0   0.2537612829396224E+004   0.0000000000000000E+000   0.1353048300358646E-007
                        0                        19                        19                         0   0.2667979649243635E+004   0.0000000000000000E+000   0.1155229823465077E-007
                        0                        20                        20                         0   0.2798320006729773E+004   0.0000000000000000E+000   0.1011368743910857E-007
                        0                        21                        21                         0   0.2929058937936887E+004   0.0000000000000000E+000   0.9154496600833328E-008
                        0                        22                        22                         0   0.3060119531837884E+004   0.0000000000000000E+000   0.8576096892476820E-008
                        0                        23                        23                         0   0.3191591221822674E+004   0.0000000000000000E+000   0.8180748214770042E-008
                        0                        24                        24                         0   0.3323608227143740E+004   0.0000000000000000E+000   0.7908865152310515E-008
                        0                        25                        25                         0   0.3455776601038648E+004   0.0000000000000000E+000   0.7755693511711890E-008
                        0                        26                        26                         0   0.3588132328627622E+004   0.0000000000000000E+000   0.7676405897714001E-008
                        0                        27                        27                         0   0.3720814747630343E+004   0.0000000000000000E+000   0.7679430637205076E-008
                        0                        28                        28                         0   0.3853479755413811E+004   0.0000000000000000E+000   0.7759948881975880E-008
                        0                        29                        29                         0   0.3986157157357174E+004   0.0000000000000000E+000   0.7915420329546112E-008
                        0                        30                        30                         0   0.4118873559856582E+004   0.0000000000000000E+000   0.8188945387466676E-008
                        0                        31                        31                         0   0.4251258878197110E+004   0.0000000000000000E+000   0.8612271646434055E-008
                        0                        32                        32                         0   0.4382951520216285E+004   0.0000000000000000E+000   0.9314399121345480E-008
                        1                         6                         5                         0   0.1006798368010000E+004   0.0000000000000000E+000   0.8732564370041349E-005
                        1                         7                         6                         0   0.1147699325166533E+004   0.0000000000000000E+000   0.3497186557211360E-005
                        1                         8                         7                         0   0.1287084862050265E+004   0.0000000000000000E+000   0.1441670237081810E-005
                        1                         9                         8                         0   0.1423029306095775E+004   0.0000000000000000E+000   0.6088266282707546E-006
                        1                        10                         9                         0   0.1556416343599466E+004   0.0000000000000000E+000   0.2789256980270478E-006
                        1                        11                        10                         0   0.1687699261110026E+004   0.0000000000000000E+000   0.1474263033419710E-006
                        1                        12                        11                         0   0.1818560272336135E+004   0.0000000000000000E+000   0.8657003657241248E-007
                        1                        13                        12                         0   0.1950039831643982E+004   0.0000000000000000E+000   0.5356611910504251E-007
                        1                        14                        13                         0   0.2080637760784148E+004   0.0000000000000000E+000   0.3471712810587263E-007
                        1                        15                        14                         0   0.2209935118592311E+004   0.0000000000000000E+000   0.2409305936269392E-007
                        1                        16                        15                         0   0.2339392530332775E+004   0.0000000000000000E+000   0.1826728901132522E-007
                        1                        17                        16                         0   0.2469398453728236E+004   0.0000000000000000E+000   0.1485406194234397E-007
                        1                        18                        17                         0   0.2599868124985493E+004   0.0000000000000000E+000   0.1247345455537201E-007
                        1                        19                        18                         0   0.2730807191012612E+004   0.0000000000000000E+000   0.1074324177231561E-007
                        1                        20                        19                         0   0.2861718043966921E+004   0.0000000000000000E+000   0.9581604547314763E-008
                        1                        21                        20                         0   0.2992784193155393E+004   0.0000000000000000E+000   0.8817861588561272E-008
                        1                        22                        21                         0   0.3124504562552207E+004   0.0000000000000000E+000   0.8335676621385040E-008
                        1                        23                        22                         0   0.3256535607545905E+004   0.0000000000000000E+000   0.8028986964834949E-008
                        1                        24                        23                         0   0.3388765602674495E+004   0.0000000000000000E+000   0.7807865941101456E-008
                        1                        25                        24                         0   0.3521348838485938E+004   0.0000000000000000E+000   0.7690937376033437E-008
                        1                        26                        25                         0   0.3654011185161130E+004   0.0000000000000000E+000   0.7669206788149015E-008
                        1                        27                        26                         0   0.3786776598585970E+004   0.0000000000000000E+000   0.7700013805641665E-008
                        1                        28                        27                         0   0.3919674181181913E+004   0.0000000000000000E+000   0.7817393191085616E-008
                        1                        29                        28                         0   0.4052430017318793E+004   0.0000000000000000E+000   0.8037424286746215E-008
                        1                        30                        29                         0   0.4185068133010112E+004   0.0000000000000000E+000   0.8371132949571730E-008
                        1                        31                        30                         0   0.4317350599185208E+004   0.0000000000000000E+000   0.8905128398505700E-008
                        1                        32                        31                         0   0.4448066159082467E+004   0.0000000000000000E+000   0.9964540216590850E-008
                        2                         6                         6                         0   0.1074752890061543E+004   0.0000000000000000E+000   0.5614647929496713E-005
                        2                         7                         7                         0   0.1214389972475914E+004   0.0000000000000000E+000   0.2295488117045985E-005
                        2                         8                         8                         0   0.1352642619400285E+004   0.0000000000000000E+000   0.9426992904675289E-006
                        2                         9                         9                         0   0.1487422395717031E+004   0.0000000000000000E+000   0.4139636676238758E-006
                        2                        10                        10                         0   0.1619005167147738E+004   0.0000000000000000E+000   0.2027738656691929E-006
                        2                        11                        11                         0   0.1750145246143536E+004   0.0000000000000000E+000   0.1128760994367253E-006
                        2                        12                        12                         0   0.1881386650390894E+004   0.0000000000000000E+000   0.6871384007473684E-007
                        2                        13                        13                         0   0.2012251641328129E+004   0.0000000000000000E+000   0.4332490849820284E-007
                        2                        14                        14                         0   0.2142425761506197E+004   0.0000000000000000E+000   0.2876704079938527E-007
                        2                        15                        15                         0   0.2271711355389744E+004   0.0000000000000000E+000   0.2092462605523286E-007
                        2                        16                        16                         0   0.2401210262647561E+004   0.0000000000000000E+000   0.1645044676442800E-007
                        2                        17                        17                         0   0.2531738071731362E+004   0.0000000000000000E+000   0.1358637265380359E-007
                        2                        18                        18                         0   0.2662567915855790E+004   0.0000000000000000E+000   0.1158288444607824E-007
                        2                        19                        19                         0   0.2793399213673156E+004   0.0000000000000000E+000   0.1012094918949215E-007
                        2                        20                        20                         0   0.2924598100823002E+004   0.0000000000000000E+000   0.9151158392187697E-008
                        2                        21                        21                         0   0.3056058235878326E+004   0.0000000000000000E+000   0.8565065611439868E-008
                        2                        22                        22                         0   0.3187935045867081E+004   0.0000000000000000E+000   0.8165305172765687E-008
                        2                        23                        23                         0   0.3320330533773255E+004   0.0000000000000000E+000   0.7894212075495614E-008
                        2                        24                        24                         0   0.3452834132694637E+004   0.0000000000000000E+000   0.7740062539771627E-008
                        2                        25                        25                         0   0.3585514320225545E+004   0.0000000000000000E+000   0.7660106415310201E-008
                        2                        26                        26                         0   0.3718487846971521E+004   0.0000000000000000E+000   0.7664483558062521E-008
                        2                        27                        27                         0   0.3851411256695965E+004   0.0000000000000000E+000   0.7744794010757328E-008
                        2                        28                        28                         0   0.3984332482879578E+004   0.0000000000000000E+000   0.7900151129605583E-008
                        2                        29                        29                         0   0.4117262986880035E+004   0.0000000000000000E+000   0.8174004712503600E-008
                        2                        30                        30                         0   0.4249839832361336E+004   0.0000000000000000E+000   0.8596340085887538E-008
                        2                        31                        31                         0   0.4381714944720368E+004   0.0000000000000000E+000   0.9295358707062352E-008
                        3                         6                         6                         0   0.1129058942157144E+004   0.0000000000000000E+000   0.3908325248371978E-005
                        3                         7                         7                         0   0.1269472241371341E+004   0.0000000000000000E+000   0.1605389845771643E-005
                        3                         8                         8                         0   0.1406769342330955E+004   0.0000000000000000E+000   0.6682301900177428E-006
                        3                         9                         9                         0   0.1541276687418604E+004   0.0000000000000000E+000   0.3018092864016474E-006
                        3                        10                        10                         0   0.1673069639636317E+004   0.0000000000000000E+000   0.1568199431427131E-006
                        3                        11                        11                         0   0.1804486960529701E+004   0.0000000000000000E+000   0.9087741830329565E-007
                        3                        12                        12                         0   0.1936533982647802E+004   0.0000000000000000E+000   0.5600098257725682E-007
                        3                        13                        13                         0   0.2067629692324821E+004   0.0000000000000000E+000   0.3605527230049080E-007
                        3                        14                        14                         0   0.2197537473113700E+004   0.0000000000000000E+000   0.2474235590297043E-007
                        3                        15                        15                         0   0.2327467896159856E+004   0.0000000000000000E+000   0.1861429381639570E-007
                        3                        16                        16                         0   0.2457807176823745E+004   0.0000000000000000E+000   0.1505601035183036E-007
                        3                        17                        17                         0   0.2588750885635212E+004   0.0000000000000000E+000   0.1259483874629271E-007
                        3                        18                        18                         0   0.2720174232241420E+004   0.0000000000000000E+000   0.1082659743795267E-007
                        3                        19                        19                         0   0.2851485933902657E+004   0.0000000000000000E+000   0.9625381507103908E-008
                        3                        20                        20                         0   0.2983001770119645E+004   0.0000000000000000E+000   0.8829779090716072E-008
                        3                        21                        21                         0   0.3115140586750629E+004   0.0000000000000000E+000   0.8338085728454688E-008
                        3                        22                        22                         0   0.3247549616183353E+004   0.0000000000000000E+000   0.8022232464937197E-008
                        3                        23                        23                         0   0.3380213794955897E+004   0.0000000000000000E+000   0.7792386016453997E-008
                        3                        24                        24                         0   0.3513205066604512E+004   0.0000000000000000E+000   0.7673330393095192E-008
                        3                        25                        25                         0   0.3646244053570376E+004   0.0000000000000000E+000   0.7646175416487054E-008
                        3                        26                        26                         0   0.3779420361263620E+004   0.0000000000000000E+000   0.7673077755638956E-008
                        3                        27                        27                         0   0.3912699395888889E+004   0.0000000000000000E+000   0.7788526577328557E-008
                        3                        28                        28                         0   0.4045815448116179E+004   0.0000000000000000E+000   0.8002613778851692E-008
                        3                        29                        29                         0   0.4178831690260229E+004   0.0000000000000000E+000   0.8330261360018218E-008
                        3                        30                        30                         0   0.4311475943911039E+004   0.0000000000000000E+000   0.8854270376363492E-008
                        3                        31                        31                         0   0.4442630195399225E+004   0.0000000000000000E+000   0.9869480680862822E-008
