                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20220703"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                              num_retries                                num_iters 
                                       5                                      821                  5.6241815525300137E+005                  5.1698182722098931E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.9744688682418408E-002                  7.9693598342817917E-002                  7.8129681665189962E-008                  9.9999999996325006E-001                  9.7573478171378825E-001                  7.9693598342817917E-002                  7.8129681665189962E-008                  9.9999999996325006E-001                  9.7573478171378825E-001                 -1.3810994934469800E-001                 -4.7102802826326439E+001                 -1.5352529778863040E+001                 -1.3810994934469775E-001                 -1.9973508535133605E-001                 -1.0165846477690899E+000                 -4.7102802826326439E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7524001769346604E+000                 -1.2501144290513860E-001                 -4.4652914457393479E-002                  4.5273734562179202E+000                  2.9927950927262235E-011                  1.7158011460753098E+001                  1.8916200335921898E+000                  7.1386428735402037E+000                  6.2272098161292355E-001                  8.4822315741389498E-001                  1.3007138886010816E+000                  6.9642231534304233E-001                  2.8493768167273253E-001                  2.7304716702110706E-003                  8.6731763905449188E-003                  3.1869285746654974E-003                  8.6730731703520865E-003                  6.9649502742113423E-001                  2.8493223063455597E-001                  1.6447142941904173E+002                  3.8487403947745192E+003                                        0                                        3 
                                      10                                      818                  1.8826975348274764E+006                  5.5657245024480169E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  7.1131516627785676E-002                  7.1052415975269845E-002                  7.8129681665189962E-008                  9.9999999996325006E-001                  9.7670212001560264E-001                  7.1052415975269845E-002                  7.8129681665189962E-008                  9.9999999996325006E-001                  9.7670212001560264E-001                 -1.3684305662137936E-001                 -4.7087444472090120E+001                 -1.5477468515471340E+001                 -1.3684305662137913E-001                 -1.9692395048256847E-001                 -1.0255851650362395E+000                 -4.7087444472090120E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7530695669426155E+000                 -1.2122742105738080E-001                 -4.4099683549425318E-002                  4.5262669944019835E+000                 -2.2220715711725304E-012                  1.7161538397453317E+001                  1.8949662453830067E+000                  7.1388222986103811E+000                  6.2275926992905395E-001                  8.4818412670821841E-001                  1.3008192270020633E+000                  6.9634546326894042E-001                  2.8500086234882183E-001                  2.6276040648775243E-003                  8.6732422779504381E-003                  3.1868416722920824E-003                  8.6728366697134216E-003                  6.9648323265836398E-001                  2.8493906425078080E-001                  1.6414084809740925E+002                  3.8359899548641629E+003                                        0                                        3 
                                      15                                      810                  5.1679751206102343E+006                  5.9616307326861415E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  6.0394410173490891E-002                  5.9185846014579491E-002                  7.8129681665189962E-008                  9.9999999996325006E-001                  9.7689410263374565E-001                  5.9185846014579491E-002                  7.8129681665189962E-008                  9.9999999996325006E-001                  9.7689410263374565E-001                 -1.2673223873716125E-001                 -4.7060455823724574E+001                 -9.8999999999999986E+001                 -1.2673223873716125E-001                 -1.8098959153878375E-001                 -1.0569042252691914E+000                 -4.7060455823724574E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7532555013657984E+000                 -1.2146342449949087E-001                 -4.4589554116844815E-002                  4.5272467355368224E+000                 -3.1600851849516929E-013                  1.7165803734480566E+001                  1.8988959161431775E+000                  7.1391974468946104E+000                  6.2286145990656772E-001                  8.4808095203924727E-001                  1.3010994810713599E+000                  6.9614037021516206E-001                  2.8516381978067806E-001                  2.3545451032499290E-003                  8.6734081771698366E-003                  3.1866204743932263E-003                  8.6722346902473116E-003                  6.9645403639175552E-001                  2.8495696392093089E-001                  1.6441398720477326E+002                  3.8438305589755878E+003                                        0                                        3 
                                      20                                      804                  1.3342797042865185E+007                  6.3575369629242653E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  4.6388663193350541E-002                  4.5901645167698513E-002                  7.8129681665189962E-008                  9.9999999996637501E-001                  9.7709431782658618E-001                  4.5901645167698513E-002                  7.8129681665189962E-008                  9.9999999996637501E-001                  9.7709431782658618E-001                 -1.2283747185716776E-001                 -4.7055549554262775E+001                 -1.5954589770191003E+001                 -1.2283747185716769E-001                 -1.6405262777524249E-001                 -1.1660094522095719E+000                 -4.7055549554262775E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7535321958863617E+000                 -1.1994056485933954E-001                 -4.4381513337896188E-002                  4.5268306539789256E+000                  5.0551872261758203E-013                  1.7170588130534107E+001                  1.9039252575519350E+000                  7.1390937810590938E+000                  6.2312601058505857E-001                  8.4781416441721447E-001                  1.3018215985915063E+000                  6.9560781617255707E-001                  2.8559255978924647E-001                  1.7193030126935040E-003                  8.6738233554697255E-003                  3.1860775269820095E-003                  8.6707570849245685E-003                  6.9638354982819706E-001                  2.8500499429963533E-001                  1.6429856310998562E+002                  3.8389265807300508E+003                                        0                                        5 
                                      25                                      796                  3.3684369928450622E+007                  6.7534431931623891E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  2.5865276006204543E-002                  2.4392140568196774E-002                  7.8129681665189962E-008                  9.9999999996637501E-001                  9.7782615000483875E-001                  2.4392140568196774E-002                  7.8129681665189962E-008                  9.9999999996637501E-001                  9.7782615000483875E-001                 -1.1526781747180319E-001                 -4.7013984374104204E+001                 -9.8999999999999986E+001                 -1.1526781747180326E-001                 -1.3774463998156553E-001                 -1.4125071548194066E+000                 -4.7013984374104204E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7546200486928671E+000                 -1.1243189718575408E-001                 -4.2802885114113544E-002                  4.5236733975313603E+000                  3.4405486057102381E-013                  1.7183361961569585E+001                  1.9167953719129427E+000                  7.1393579804963148E+000                  6.2380350684623509E-001                  8.4712463855990805E-001                  1.3036519012432155E+000                  6.9423088441562963E-001                  2.8679424297546724E-001                  6.4528080717968749E-004                  8.6748574247812547E-003                  3.1847032105036801E-003                  8.6670169485843617E-003                  6.9621396641550359E-001                  2.8513504816833174E-001                  1.6342951626710769E+002                  3.8063491553184504E+003                                        0                                        5 
                                      30                                      787                  8.4300712571110561E+007                  7.1493494234005128E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  4.9427161559663889E-003                  9.9999999996637501E-001                  9.7865370787457140E-001                  4.5651477472063440E-003                  7.8129681665189962E-008                  9.9999999996637501E-001                  9.7865370787457140E-001                  4.5651477472063440E-003                  7.8129681665189962E-008                 -1.0588284672706218E-001                 -4.6969561620728228E+001                 -1.5255619765854984E+001                 -1.0588284672706187E-001                 -1.1604924032944509E-001                 -1.7415735189840353E+000                 -4.6969561620728228E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7555437781479397E+000                 -1.0544756866612676E-001                 -4.1158179764444726E-002                  4.5203839868320221E+000                  1.4689136149632025E-013                  1.7195274516632388E+001                  1.9298437831325181E+000                  7.1393449060810168E+000                  6.2558043871654267E-001                  8.4529377884067469E-001                  1.3083790500077823E+000                  6.9057186096200174E-001                  2.9035374247869811E-001                  4.0642035818831592E-005                  8.6772716596694895E-003                  3.1811497420460278E-003                  8.6573463547132672E-003                  6.9580074050467766E-001                  2.8548702412309812E-001                  1.6252547538474298E+002                  3.7736129016947402E+003                                        0                                        5 
                                      35                                      785                  2.1025037029569405E+008                  7.5452556536386375E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996637501E-001                  9.7902452112896321E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996637501E-001                  9.7902452112896321E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9207829603248726E-002                 -4.6838437006718088E+001                 -9.8999999999999986E+001                 -9.9207829603249031E-002                 -1.0443445414961626E-001                 -2.0213815285482464E+000                 -4.6838437006718088E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7559962660278172E+000                 -9.9123622111763288E-002                 -3.8901182247019793E-002                  4.5158699917971727E+000                  9.3922417651377992E-014                  1.7202226848145074E+001                  1.9387510056526998E+000                  7.1407697274884008E+000                  6.3052541226336900E-001                  8.4022320487750790E-001                  1.3215360875099034E+000                  6.8043270944591228E-001                  3.0047674885493331E-001                  1.4177654270681688E-005                  8.6822708870209278E-003                  3.1724211426794528E-003                  8.6335918904360317E-003                  6.9478842632542326E-001                  2.8640765391647754E-001                  1.6129713613561117E+002                  3.7326486232173411E+003                                        0                                        5 
                                      40                                      785                  5.2365342260492975E+008                  7.9411618838767613E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996637501E-001                  9.7947100989520131E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996637501E-001                  9.7947100989520131E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7975273561799891E-002                 -4.6513689927043572E+001                 -9.8999999999999986E+001                 -8.7975273561799891E-002                 -9.0888009069934925E-002                 -2.2629140884792851E+000                 -4.6513689927043572E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7567022020761609E+000                 -8.7898376138584838E-002                 -3.4700431357117208E-002                  4.5074684900173674E+000                  7.7050905603689873E-014                  1.7214655139222543E+001                  1.9559214228420763E+000                  7.1448518267558372E+000                  6.4350301569129731E-001                  8.2724557852443015E-001                  1.3564450527885741E+000                  6.5447878356621214E-001                  3.2639088406814848E-001                  1.4497140432951243E-005                  8.6924115744986992E-003                  3.1503323471527025E-003                  8.5734782934852299E-003                  6.9227373429794636E-001                  2.8879375186656570E-001                  1.5903302773671894E+002                  3.6581595167154051E+003                                        0                                        5 
                                      45                                      785                  1.1569649470142124E+009                  8.0966960322741794E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996325006E-001                  9.8047421029196435E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996325006E-001                  9.8047421029196435E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.6867106323701672E-002                 -4.5848604881927045E+001                 -9.8999999999999986E+001                 -6.6867106323701728E-002                 -6.9048898871352377E-002                 -2.3669284031974005E+000                 -4.5848604881927045E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7579638427960500E+000                 -6.6788930662748047E-002                 -2.6668990058976893E-002                  4.4914056074210862E+000                  7.9319871356500229E-014                  1.7240111172926905E+001                  1.9914737538172262E+000                  7.1535069909075224E+000                  6.7201566773259258E-001                  8.0055979384289166E-001                  1.4343548284307102E+000                  6.0110966582144199E-001                  3.7968128138059892E-001                  1.5241725471370495E-005                  8.7028263961982811E-003                  3.1059710010496945E-003                  8.4527510190350701E-003                  6.8706179806605572E-001                  2.9386199892897563E-001                  1.5479001531983803E+002                  3.5202129504791951E+003                                        0                                        5 
